"y.date" "BREST" "LANVEOC" "QUIMPER" "BORMES" "LE LUC" "HYERES" "NANCY" "METZ" "ROVILLE"
19760101 0.3 0.4 2.1 0 0 0 2.3 4.9 5
19760102 0.1 0 0.2 0 0 0 1.4 2.1 9
19760103 0 0.1 0 0 0 0 1.8 0.8 2.4
19760104 1.7 1 1.4 0 0 0 0 0 0
19760105 0 0 0 0 0 0 0.7 0.5 0.9
19760106 0 0 0 0 0 0 0.6 1.3 1.7
19760107 0 0 0 0 0 0 0 0 0.1
19760108 0 0 0 0 0 0 0 0 0
19760109 0.3 0.2 0.4 0 0 0 0 0 0.3
19760110 0.2 0 0.1 0 0 0 4.7 4.8 4
19760111 0.4 0 0 0 0 0 1.2 1.6 5
19760112 0 0 0 0 0 0 0.8 0.5 0.8
19760113 0 0 0 0 0 0 0 0 0.5
19760114 0.2 0.4 0 0 0 0 0.1 0.2 0
19760115 0 0.5 0 0 0 0 1.9 0.8 12
19760116 0.2 0.1 0 0 0 0 0 0 2
19760117 0 0 0 0 0 0 1.1 0.3 0
19760118 1.4 1.2 1.2 0 0 0 0.1 0 0
19760119 0.7 0.8 2.3 0 0 0 1.2 3.9 2.4
19760120 0.2 0.2 1.2 0 0 0 2.3 2.4 1
19760121 0.3 0.6 0.3 0 0 0 1.9 3.2 4.7
19760122 0.5 1.1 1.5 0 0 0 5.1 2.8 5.2
19760123 5.1 4.2 4.7 0 0 0 7 3.5 11.7
19760124 2.8 2.6 3.1 0 1 0 0.4 0 10.4
19760125 0.2 1.2 0.6 0 0 0 1.9 0.5 2.5
19760126 4.2 0.5 7 0 0 0 0 0.3 2.5
19760127 0 0 0 0 0 0 4.1 3 7
19760128 17.2 15.1 16 0 0 0 0 0 0
19760129 6.8 10.2 30.7 6.6 1.7 8.8 0 0 0
19760130 0.6 2.4 2 80 45.3 41.4 0.3 0.1 0
19760131 0 0.4 0 18 5.5 24.2 0.2 2.7 0
19760201 0.4 0.4 0.8 24.5 8.4 7 0 0 0
